datetime,average,duration,trend,next-position
4/20/2023 2:00,-0.000406,2,-4.6e-05,MB
4/20/2023 8:00,-0.00109275,4,1.13e-05,MS
4/22/2023 0:00,0.0072136,5,7e-07,MB
4/22/2023 13:00,0.008889333,3,-0.000188,SB
4/23/2023 4:00,-3.63e-05,4,4.39e-05,WS
4/23/2023 20:00,-0.0004835,4,-3.1e-05,WS
4/24/2023 3:00,0.001135,6,-3.47e-05,WS
4/25/2023 16:00,0.0027065,2,-0.000583,WS
4/25/2023 19:00,0.002069,1,0.0,WS
4/26/2023 13:00,0.002921,1,0.0,MS
4/27/2023 0:00,0.003087,4,5.28e-05,SB
4/27/2023 8:00,0.002895,12,-0.00011765,WS
4/28/2023 9:00,0.003478333,3,-5.35e-05,MB
4/29/2023 8:00,-0.005528429,7,0.000332393,WS
4/30/2023 20:00,0.003392333,3,3.25e-05,MB
5/1/2023 23:00,0.003586,1,0.0,WS
5/2/2023 4:00,0.003878333,3,0.000182,MB
5/2/2023 17:00,0.004074,1,0.0,MB
5/4/2023 8:00,0.005974375,8,0.000162702,WS
5/4/2023 21:00,0.008242667,3,-7.5e-06,SB
5/6/2023 9:00,7.71e-05,7,9.64e-05,SB
5/7/2023 20:00,-0.0147025,4,-0.0003856,WS
5/8/2023 12:00,-0.017561,1,0.0,WS
5/10/2023 18:00,0.001202,1,0.0,MB
5/11/2023 16:00,-0.0010708,5,-8.38e-05,WS
5/11/2023 23:00,-0.000867,1,0.0,MS
5/12/2023 12:00,0.0003035,2,-0.000741,MB
5/13/2023 0:00,0.000988333,3,-0.000267,MB
5/13/2023 9:00,0.000371714,7,7.11e-06,WS
5/15/2023 0:00,-0.003720375,8,-0.000377702,MS
5/15/2023 18:00,-0.001208,2,5.8e-05,WS
5/17/2023 0:00,0.003583375,8,-0.000235464,WS
5/17/2023 15:00,0.006644,3,3.75e-05,WS
5/19/2023 3:00,0.002495,5,0.000163,SS
5/19/2023 16:00,0.0038805,8,6.19e-07,MB
5/20/2023 8:00,0.001543,9,-0.000131467,MB
5/20/2023 18:00,0.000722,1,0.0,WS
5/21/2023 1:00,-0.000171,1,0.0,WS
5/21/2023 11:00,0.001077,1,0.0,SB
5/21/2023 14:00,0.0007955,2,0.000627,MB
5/22/2023 16:00,0.0052512,5,0.0006242,WS
5/22/2023 22:00,0.0066695,2,4.3e-05,WS
5/23/2023 16:00,0.008469,3,-0.000311,MB
5/24/2023 4:00,0.01050075,4,-0.0004745,SB
5/24/2023 18:00,0.002765,2,0.000172,WS
5/25/2023 12:00,0.004139333,3,-2.15e-05,MB
5/25/2023 16:00,0.00529525,4,9.63e-05,SB
5/26/2023 6:00,0.0034695,6,2.6e-06,SS
5/26/2023 21:00,0.003811333,3,-0.0002075,SB
5/27/2023 12:00,-0.00022425,4,-0.0002695,SS
5/28/2023 0:00,0.002009,1,0.0,WS
5/29/2023 8:00,0.009548,4,-0.0003,MB
5/29/2023 20:00,0.00941075,8,0.000146143,WS
5/30/2023 11:00,0.008774,1,0.0,SB
5/30/2023 22:00,0.007842,2,0.000192,WS
6/1/2023 12:00,0.00511325,4,4.45e-05,WS
6/2/2023 0:00,0.004978625,8,9.46e-05,SS
6/2/2023 20:00,0.005548,1,0.0,WS
6/2/2023 23:00,0.005708,1,0.0,SS
6/3/2023 8:00,0.006339,5,-0.0003268,MB
6/4/2023 3:00,0.003081,2,0.00166,WS
6/5/2023 0:00,0.0073725,2,-0.002073,MB
6/6/2023 10:00,-0.000716667,3,0.0003955,WS
6/7/2023 12:00,0.0088315,12,6.39e-05,MB
6/8/2023 15:00,0.006957,3,-3.6e-05,WS
6/9/2023 3:00,0.006949,1,0.0,SB
6/9/2023 13:00,0.005709333,3,-9e-06,SS
6/10/2023 3:00,0.0077474,5,-0.0003185,MB
6/10/2023 20:00,0.0038325,4,-0.0001994,MB
6/11/2023 1:00,0.001327714,7,6.34e-05,MS
6/12/2023 8:00,0.0046925,4,-2.16e-05,MB
6/12/2023 14:00,0.0048755,2,8.1e-05,MS
6/13/2023 16:00,0.010113,2,0.00018,MB
6/14/2023 11:00,0.0080405,4,0.000176,WS
6/14/2023 16:00,0.0074506,5,5.42e-05,SB
6/15/2023 20:00,0.00703875,4,-0.0002709,WS
6/16/2023 6:00,0.00967,2,-0.000482,MB
6/16/2023 13:00,0.008005,1,0.0,WS
6/17/2023 8:00,0.01141225,4,0.0001187,MB
6/17/2023 16:00,0.012745,1,0.0,MB
6/18/2023 9:00,0.010706,3,-0.000179,MB
6/18/2023 13:00,0.01046,2,0.000318,WS
6/19/2023 19:00,0.0078258,5,8.72e-05,MS
6/20/2023 8:00,0.00810525,4,-0.0002693,MB
6/20/2023 20:00,0.007791,2,3.8e-05,WS
6/21/2023 21:00,0.008335,3,0.000535,SS
6/22/2023 8:00,0.011083333,3,-0.0006635,MB
6/23/2023 2:00,0.0076304,5,0.0002756,WS
6/23/2023 16:00,0.00853175,4,-0.0002017,MB
6/24/2023 16:00,0.006415,2,-0.000124,WS
6/24/2023 20:00,0.005804,2,0.0001,WS
6/26/2023 0:00,0.011209,1,0.0,MB
6/26/2023 7:00,0.010768,1,0.0,WS
6/26/2023 11:00,0.011343,1,0.0,MB
6/27/2023 16:00,0.00628225,4,-7.69e-05,SB
6/28/2023 4:00,0.00277675,4,1.05e-05,WS
6/30/2023 0:00,0.008980333,3,-0.000431,MB
6/30/2023 5:00,0.0100885,2,0.001057,WS
7/1/2023 8:00,0.0091465,8,-4.85e-05,WS
7/1/2023 20:00,0.009727667,6,-1.6e-05,WS
7/2/2023 13:00,0.010098,1,0.0,WS
7/3/2023 1:00,0.010381667,3,0.0001475,MS
7/3/2023 7:00,0.010341,1,0.0,SS
7/3/2023 16:00,0.0107015,2,-0.000385,MB
7/4/2023 0:00,0.010572667,3,-3.65e-05,MB
7/5/2023 9:00,0.007475,3,-0.0002565,WS
7/5/2023 18:00,0.0065495,2,0.000315,MB
7/5/2023 23:00,0.005795,1,0.0,WS
7/6/2023 1:00,0.006322667,3,-0.0003145,WS
7/6/2023 5:00,0.006772667,3,0.0001015,MS
7/6/2023 15:00,0.006674,1,0.0,SB
7/8/2023 0:00,-0.003252,1,0.0,WS
7/8/2023 22:00,0.002756,2,-0.000636,SB
7/10/2023 4:00,0.00361875,4,4.53e-05,MB
7/11/2023 14:00,0.0098255,2,-0.000167,SB
7/12/2023 0:00,0.0080115,2,0.000289,WS
7/13/2023 7:00,0.003471,3,0.0010855,WS
7/14/2023 13:00,0.01155,3,3e-06,WS
7/14/2023 17:00,0.012185,2,-0.000584,MB
7/15/2023 8:00,-0.0012275,6,0.000291571,WS
7/15/2023 16:00,-0.00687375,4,-0.0001461,WS
7/16/2023 17:00,-0.001514,1,0.0,MB
7/17/2023 0:00,0.001171,3,0.0002505,WS
7/17/2023 14:00,-0.002687,2,0.000316,SS
7/18/2023 4:00,0.000701,1,0.0,WS
7/18/2023 20:00,0.003772,1,0.0,WS
7/19/2023 5:00,0.00474,4,-9.22e-05,MS
7/19/2023 18:00,0.005019,1,0.0,MS
7/19/2023 21:00,0.004938,2,-0.000396,MB
7/20/2023 3:00,0.00443,3,0.0001605,WS
7/20/2023 16:00,0.00475075,4,-0.0003469,MB
7/22/2023 20:00,-0.0018945,4,0.000117,WS
7/24/2023 3:00,0.0024258,5,-0.0002783,SB
7/25/2023 4:00,0.001025,4,4e-06,WS
7/25/2023 11:00,0.001906,1,0.0,WS
7/26/2023 0:00,0.003040875,8,-2.35e-05,MS
7/26/2023 17:00,0.0039132,5,3.72e-05,MB
7/29/2023 10:00,0.00456,2,6.4e-05,MB
7/29/2023 17:00,0.0034586,5,0.0002147,WS
7/30/2023 14:00,0.004399,1,0.0,WS
7/31/2023 20:00,0.00614075,4,-4.53e-05,SB
8/1/2023 8:00,0.002717167,6,0.000210714,WS
8/2/2023 16:00,0.012242,1,0.0,MB
8/4/2023 0:00,0.011652,1,0.0,MB
8/4/2023 8:00,0.01294925,4,0.0001057,MB
8/5/2023 3:00,0.0096144,5,0.0001332,SS
8/5/2023 17:00,0.010700333,15,1.37e-05,MB
8/6/2023 10:00,0.0107295,4,0.0002162,WS
8/7/2023 12:00,0.015871667,3,-5.35e-05,MB
8/9/2023 0:00,0.010972,2,-9.6e-05,WS
8/10/2023 16:00,0.01091675,4,-0.0001019,MB
8/12/2023 6:00,0.007726667,3,0.0009065,WS
8/12/2023 23:00,0.008366,1,0.0,SB
8/13/2023 16:00,0.007475333,3,-1.05e-05,WS
8/13/2023 20:00,0.00752825,4,-8.59e-05,SS
8/14/2023 14:00,0.010038,1,0.0,WS
8/15/2023 5:00,0.011097,3,0.000415,SS
8/15/2023 21:00,0.0113895,2,-0.000221,MB
8/17/2023 0:00,0.012917667,3,-0.000477,MB
8/17/2023 17:00,0.003407,4,-0.0003548,SB
8/18/2023 8:00,-0.012754,3,0.0023995,WS
8/19/2023 8:00,-0.000641333,3,-0.000123,MB
8/19/2023 16:00,-0.000230667,3,-0.0004,MB
8/19/2023 22:00,-0.000669,3,0.000324,MB
8/20/2023 4:00,-0.001914,3,-0.000159,MB
8/20/2023 20:00,-0.005414333,3,0.000596,WS
8/23/2023 21:00,0.0037815,2,-0.000171,WS
8/24/2023 4:00,0.004578,3,2.45e-05,MB
8/25/2023 3:00,0.001893,1,0.0,MB
8/26/2023 0:00,0.003827143,7,4.63e-05,MB
8/26/2023 12:00,0.003991,1,0.0,WS
8/27/2023 1:00,0.004938,1,0.0,WS
8/27/2023 8:00,0.004206,1,0.0,WS
8/27/2023 11:00,0.005858667,6,1.93e-05,SB
8/28/2023 12:00,0.0005555,4,-0.000162,MB
8/29/2023 23:00,-0.000114,1,0.0,WS
8/31/2023 18:00,0.003461,2,0.000166,SB
9/2/2023 19:00,0.0003592,5,0.0003947,WS
9/3/2023 12:00,-0.0002025,2,0.000447,WS
9/4/2023 19:00,0.004778667,3,-0.0001505,MB
9/6/2023 0:00,0.001353333,3,0.0003525,WS
9/6/2023 4:00,0.002312333,3,3.75e-05,WS
9/6/2023 18:00,0.002866,1,0.0,WS
9/8/2023 5:00,0.001353,2,0.001526,WS
9/8/2023 12:00,0.002061,4,-5.8e-05,WS
9/8/2023 22:00,0.001180333,3,-5.5e-06,WS
9/9/2023 8:00,0.002109,7,-4.13e-05,MB
9/10/2023 0:00,0.002474,1,0.0,SB
9/10/2023 11:00,0.000396,1,0.0,WS
9/11/2023 0:00,0.000689,1,0.0,MB
9/11/2023 6:00,0.0006065,2,0.000737,MS
9/11/2023 17:00,0.002121,3,-0.0004575,MB
9/11/2023 22:00,0.000787667,3,0.0003595,MB
9/12/2023 4:00,0.000804,1,0.0,MB
9/12/2023 8:00,0.001895,1,0.0,WS
9/12/2023 17:00,0.000835429,7,1e-05,SB
9/13/2023 5:00,0.00044,2,0.001076,WS
9/14/2023 4:00,-0.000898,2,0.000838,WS
9/14/2023 16:00,-0.0002395,4,0.0002984,MB
9/14/2023 22:00,0.000378333,12,0.000207112,WS
9/17/2023 14:00,0.00068,1,0.0,MB
9/17/2023 17:00,0.001055,2,0.001076,WS
9/18/2023 0:00,0.00101,1,0.0,WS
9/19/2023 7:00,-0.0023368,5,0.0001368,WS
9/20/2023 2:00,-0.001282,1,0.0,WS
9/20/2023 4:00,-0.00144925,4,-9.81e-05,MB
9/20/2023 13:00,-0.001885,3,5.65e-05,MS
9/22/2023 8:00,-0.001571,1,0.0,MB
9/22/2023 10:00,-0.002107667,3,0.000662,WS
9/23/2023 9:00,0.002605286,7,0.000375071,SB
9/23/2023 23:00,-0.000902,1,0.0,MS
9/24/2023 21:00,0.004502,1,0.0,MB
9/25/2023 8:00,0.0001505,4,-0.0001516,WS
9/28/2023 12:00,0.0059595,4,0.0001486,MB
9/28/2023 22:00,0.00286,1,0.0,WS
10/1/2023 9:00,0.002342333,3,0.0002165,MS
10/2/2023 9:00,0.005532333,3,1.9e-05,MB
10/2/2023 17:00,0.005954,1,0.0,WS
10/3/2023 8:00,0.0058708,5,-0.000237,MB
10/3/2023 21:00,0.007442667,3,-0.00018,MB
10/4/2023 1:00,0.006623,3,1e-05,SB
10/4/2023 16:00,0.004600333,3,0.000224,WS
10/5/2023 0:00,0.004146857,7,-2.32e-06,WS
10/5/2023 9:00,0.0039775,2,0.000479,WS
10/6/2023 4:00,0.00111125,4,5.77e-05,MS
10/6/2023 11:00,0.001013,1,0.0,SB
10/6/2023 20:00,-0.00068,1,0.0,WS
10/7/2023 12:00,0.00105825,4,-0.0003047,MB
10/8/2023 4:00,-0.000374,3,0.000517,WS
10/9/2023 11:00,0.002347,1,0.0,MB
10/9/2023 13:00,0.002889,1,0.0,MS
10/9/2023 20:00,0.00278775,4,5.07e-05,SS
10/11/2023 9:00,0.002506,3,0.00016,WS
10/12/2023 16:00,0.00851675,4,0.0001269,WS
10/12/2023 23:00,0.00826,1,0.0,MB
10/13/2023 2:00,0.0070735,2,0.000509,WS
10/13/2023 20:00,0.008584,1,0.0,WS
10/13/2023 22:00,0.008618,1,0.0,MB
10/14/2023 7:00,0.007803,1,0.0,SS
10/15/2023 8:00,0.006019,2,0.00024,WS
10/15/2023 16:00,0.004472,1,0.0,WS
10/15/2023 18:00,0.004998,1,0.0,WS
10/16/2023 0:00,0.004866333,3,0.0001235,MB
10/16/2023 10:00,0.004338667,3,0.0002765,WS
10/17/2023 8:00,0.004434,4,7e-06,MB
10/18/2023 4:00,0.000750857,7,-2.07e-06,WS
10/19/2023 8:00,-0.0030855,4,-4.4e-06,WS
10/19/2023 13:00,-0.004071,3,-0.0002895,SB
10/20/2023 0:00,-0.00771,2,0.000118,WS
10/21/2023 5:00,0.002138,7,5.78e-05,MB
10/23/2023 12:00,0.011258,1,0.0,MB
10/23/2023 23:00,0.002133,1,0.0,MS
10/24/2023 14:00,0.011427,8,-2.19e-05,MB
10/25/2023 3:00,0.0119114,5,0.0002307,WS
10/25/2023 19:00,0.0123595,4,-0.0001032,MB
10/26/2023 1:00,0.012745,1,0.0,WS
10/26/2023 13:00,0.013980667,3,-0.0006635,SB
10/27/2023 4:00,0.011156,4,9.8e-05,WS
10/27/2023 21:00,0.011447,1,0.0,MB
10/29/2023 11:00,0.01785,1,0.0,MB
10/29/2023 13:00,0.017383,3,0.000725,SS
10/30/2023 0:00,0.020777667,3,-0.000808,MB
10/30/2023 16:00,0.0166045,6,-0.000126714,WS
10/31/2023 14:00,0.010195,3,0.0008285,WS
