datetime,average,trend,duration,next-signal,variance
5/9/2023 12:00,-0.0195754,-0.0003935,5,MB,3.22e-07
5/14/2023 8:00,-0.009041,0.0005723,5,MB,1.22e-06
5/18/2023 8:00,0.0003698,-0.0003312,5,MB,5.59e-07
5/31/2023 8:00,0.0022894,0.0001357,5,MB,4.64e-08
7/9/2023 0:00,-0.0045552,0.0004822,5,MB,7.41e-07
7/27/2023 0:00,-0.000799,0.0003027,5,MB,2.38e-07
8/8/2023 0:00,0.012358,1.01e-05,5,MB,3.09e-09
9/17/2023 4:00,-0.001121,-0.0002082,5,MB,1.32e-07
9/23/2023 16:00,-0.003833,-0.0007772,5,MB,2.52e-06
10/11/2023 3:00,0.000665,-0.0006089,5,MB,1.36e-06
10/14/2023 1:00,0.0069268,-0.0002004,5,MB,8.25e-08
10/27/2023 23:00,0.0080718,-0.0004478,5,MB,1.16e-06
12/5/2023 15:00,0.0119892,-0.0002434,5,MB,1.33e-07
12/9/2023 0:00,0.010319,0.0003769,5,MB,3.23e-07
12/18/2023 8:00,0.0078306,0.0005886,5,MB,8.13e-07
12/20/2023 8:00,0.009283,3.42e-05,5,MB,5.29e-09
12/29/2023 8:00,0.0348942,0.0002222,5,MB,4.28e-07
1/5/2024 0:00,0.0023292,-0.000197,5,MB,1.33e-07
1/10/2024 16:00,0.0046126,0.0001308,5,MB,3.72e-08
2/17/2024 0:00,0.0097888,0.0001694,5,MB,3.4e-07
3/25/2024 9:00,0.0127842,-0.0004621,5,MB,7.62e-07
