datetime,average,trend,duration,next-signal,variance
6/8/2023 0:00,0.006811143,-0.000239321,7,SB,3.2e-07
6/8/2023 8:00,0.006171429,-4.18e-06,7,WB,3.79e-08
6/17/2023 17:00,0.011482714,-0.00014425,7,SB,1.18e-07
6/18/2023 1:00,0.010123143,3.54e-05,7,WS,3.91e-08
7/27/2023 17:00,-0.002417286,-0.000289429,7,WS,4.47e-07
8/4/2023 1:00,0.011554571,6.64e-05,7,WB,4.62e-08
8/11/2023 1:00,0.008671429,0.000203714,7,MS,2.12e-07
10/15/2023 1:00,0.003633571,-4.33e-05,7,WB,1.01e-07
10/26/2023 21:00,0.010563714,0.000232071,7,WB,3.97e-07
11/6/2023 17:00,0.012113857,-0.000492321,7,SB,1.12e-06
11/13/2023 17:00,0.015105143,-0.000724036,7,SB,2.16e-06
11/14/2023 1:00,0.009168143,-0.000169143,7,MS,1.63e-07
11/15/2023 16:00,0.008179143,0.000128143,7,WB,7.63e-08
12/17/2023 17:00,0.025536714,0.000292607,7,WS,9.53e-07
12/27/2023 6:00,0.027226429,-5.18e-05,7,WB,1.88e-06
1/22/2024 9:00,0.005618286,-3.26e-05,7,MS,1.94e-08
1/23/2024 8:00,0.006010429,0.000164393,7,WB,1.16e-07
2/3/2024 4:00,0.006889714,2.48e-05,7,WB,2.7e-08
4/17/2024 5:00,0.002349714,-5.3e-05,7,SB,4.82e-08
