datetime,average,duration,signal,trend,next-signal,variance
4/18/2023 1:00,0.003048,1,MS,0,WS,0
4/18/2023 2:00,0.003128,2,WS,-0.000284,MB,2.02E-08
4/18/2023 4:00,-0.00031025,4,MB,-0.0003067,MS,1.21E-07
4/18/2023 8:00,0.0029515,2,MS,-0.000315,WS,2.48E-08
4/18/2023 10:00,0.002628,1,WS,0,MS,0
4/18/2023 11:00,0.00343,1,MS,0,SS,0
4/18/2023 12:00,0.005601667,3,SS,0.0002165,MS,3.12E-08
4/18/2023 15:00,0.005858,1,MS,0,SS,0
4/18/2023 16:00,0.006808,1,SS,0,MS,0
4/18/2023 17:00,0.007179333,3,MS,0.0002875,SS,5.73E-08
4/18/2023 20:00,0.00878,2,SS,0.000142,MS,5.04E-09
4/18/2023 22:00,0.008302429,7,MS,-0.000160893,WS,1.46E-07
4/19/2023 5:00,0.007701667,3,WS,-6.85E-05,SB,3.16E-09
4/19/2023 8:00,0.003771,1,SB,0,MB,0
4/19/2023 9:00,0.005265667,3,MB,0.0001515,SB,5.46E-08
4/19/2023 12:00,5.83E-05,9,SB,-0.0007805,MB,5.43E-06
4/19/2023 21:00,-0.0009932,5,MB,0.0004304,WB,4.07E-07
4/20/2023 2:00,-0.000406,2,WB,-4.60E-05,MB,5.29E-10
4/20/2023 4:00,-0.003212,4,MB,-0.0003424,WB,1.51E-07
4/20/2023 8:00,-0.00109275,4,WB,1.13E-05,MS,3.92E-09
4/20/2023 12:00,0.0012445,2,MS,0.000343,SS,2.94E-08
4/20/2023 14:00,0.0061989,10,SS,0.000899618,MS,7.79E-06
4/21/2023 0:00,0.006532,4,MS,5.16E-05,WS,8.73E-09
4/21/2023 4:00,0.006696,8,WS,0.00022969,MS,3.13E-07
4/21/2023 12:00,0.007933,2,MS,5.20E-05,WS,6.76E-10
4/21/2023 14:00,0.007966,1,WS,0,MS,0
4/21/2023 15:00,0.007972,1,MS,0,SS,0
4/21/2023 16:00,0.011392167,6,SS,-7.14E-07,MS,5.81E-12
4/21/2023 22:00,0.011376,2,MS,-1.40E-05,WB,4.90E-11
4/22/2023 0:00,0.0072136,5,WB,7.00E-07,MB,6.64E-12
4/22/2023 5:00,0.007096,3,MB,-0.000165,WS,2.22E-08
4/22/2023 8:00,0.009273,5,WS,1.50E-05,WB,1.12E-09
4/22/2023 13:00,0.008889333,3,WB,-0.000188,SB,2.40E-08
4/22/2023 16:00,-0.0021945,10,SB,-0.000787145,MB,7.22E-06
4/23/2023 2:00,-0.004068,2,MB,0.000556,WB,7.73E-08
4/23/2023 4:00,-3.63E-05,4,WB,4.39E-05,WS,2.35E-08
4/23/2023 8:00,0.003657667,3,WS,-0.0005465,MS,3.37E-07
4/23/2023 11:00,0.0039228,5,MS,-0.0004285,WS,5.99E-07
4/23/2023 16:00,0.0007655,4,WS,-3.46E-05,WB,6.84E-08
4/23/2023 20:00,-0.0004835,4,WB,-3.10E-05,WS,1.39E-08
4/24/2023 0:00,0.002135333,3,WS,-0.000486,WB,1.76E-07
4/24/2023 3:00,0.001135,6,WB,-3.47E-05,WS,1.95E-07
4/24/2023 9:00,0.001811333,3,WS,-7.25E-05,MS,3.94E-09
4/24/2023 12:00,0.003088,1,MS,0,SS,0
4/24/2023 13:00,0.003194,1,SS,0,MS,0
4/24/2023 14:00,0.0028905,2,MS,-0.000251,SS,1.58E-08
