Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
WB,2,[28734.4],['Min'],2023-04-20 02:00:00,2023-04-20 02:00:00
WB,4,[28601.6],['Min'],2023-04-20 11:00:00,2023-04-20 11:00:00
WB,5,[27216.7],['Min'],2023-04-22 00:00:00,2023-04-22 00:00:00
WB,3,[],[],,
WB,4,[27704.6],['Max'],2023-04-23 07:00:00,2023-04-23 07:00:00
WB,4,[],[],,
WB,6,[27173.9],['Min'],2023-04-24 08:00:00,2023-04-24 08:00:00
WB,2,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,4,"[29215.1, 28730.3, 29025.0, 28876.6]","['Max', 'Min', 'Max', 'Min']",2023-04-27 00:00:00,2023-04-27 03:00:00
WB,12,"[28981.9, 28846.6, 29758.8]","['Max', 'Min', 'Max']",2023-04-27 10:00:00,2023-04-27 18:00:00
WB,3,[],[],,
WB,7,[29371.9],['Max'],2023-04-29 13:00:00,2023-04-29 13:00:00
WB,3,[],[],,
WB,1,[28054.4],['Max'],2023-05-01 23:00:00,2023-05-01 23:00:00
WB,3,[27916.9],['Min'],2023-05-02 04:00:00,2023-05-02 04:00:00
WB,1,[],[],,
WB,8,"[29234.6, 28745.6]","['Max', 'Min']",2023-05-04 10:00:00,2023-05-04 13:00:00
WB,3,[28762.8],['Min'],2023-05-04 22:00:00,2023-05-04 22:00:00
WB,7,[28557.9],['Min'],2023-05-06 15:00:00,2023-05-06 15:00:00
WB,4,[28419.4],['Min'],2023-05-07 23:00:00,2023-05-07 23:00:00
WB,1,[27756.8],['Min'],2023-05-08 12:00:00,2023-05-08 12:00:00
WB,1,[27417.0],['Min'],2023-05-10 18:00:00,2023-05-10 18:00:00
WB,5,[26831.4],['Min'],2023-05-11 19:00:00,2023-05-11 19:00:00
WB,1,[],[],,
WB,2,[26436.2],['Max'],2023-05-12 13:00:00,2023-05-12 13:00:00
WB,3,[],[],,
WB,7,[],[],,
WB,8,"[26787.8, 27463.7]","['Min', 'Max']",2023-05-15 00:00:00,2023-05-15 06:00:00
WB,2,[],[],,
WB,8,[27160.1],['Max'],2023-05-17 01:00:00,2023-05-17 01:00:00
WB,3,[],[],,
WB,5,[],[],,
WB,8,[],[],,
WB,9,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,2,[],[],,
WB,5,[],[],,
WB,2,[],[],,
WB,3,[],[],,
WB,4,[],[],,
WB,2,[26207.6],['Min'],2023-05-24 18:00:00,2023-05-24 18:00:00
WB,3,[26392.0],['Max'],2023-05-25 12:00:00,2023-05-25 12:00:00
WB,4,[],[],,
WB,6,[],[],,
WB,3,[],[],,
WB,4,[26617.8],['Min'],2023-05-27 13:00:00,2023-05-27 13:00:00
WB,1,[],[],,
WB,4,[],[],,
WB,8,[],[],,
WB,1,[28005.9],['Max'],2023-05-30 11:00:00,2023-05-30 11:00:00
WB,2,[],[],,
WB,4,[],[],,
WB,8,[26779.9],['Min'],2023-06-02 00:00:00,2023-06-02 00:00:00
WB,1,[],[],,
WB,1,[],[],,
WB,5,[27121.0],['Min'],2023-06-03 11:00:00,2023-06-03 11:00:00
WB,2,[],[],,
WB,2,[],[],,
WB,3,[25524.4],['Min'],2023-06-06 12:00:00,2023-06-06 12:00:00
WB,12,"[26313.5, 26495.4, 26141.9]","['Min', 'Max', 'Min']",2023-06-07 16:00:00,2023-06-07 21:00:00
WB,3,"[26705.9, 26475.2]","['Max', 'Min']",2023-06-08 15:00:00,2023-06-08 17:00:00
WB,1,[],[],,
WB,3,[],[],,
