Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
MS,1,[],[],,
MS,2,[],[],,
MS,1,[30369.7],['Max'],2023-04-18 11:00:00,2023-04-18 11:00:00
MS,1,[],[],,
MS,3,[30013.5],['Min'],2023-04-18 17:00:00,2023-04-18 17:00:00
MS,7,[],[],,
MS,2,[28876.3],['Max'],2023-04-20 12:00:00,2023-04-20 12:00:00
MS,4,[28309.1],['Max'],2023-04-21 03:00:00,2023-04-21 03:00:00
MS,2,[28206.7],['Max'],2023-04-21 12:00:00,2023-04-21 12:00:00
MS,1,[],[],,
MS,2,[],[],,
MS,5,[],[],,
MS,1,[],[],,
MS,2,[],[],,
MS,4,[27497.5],['Max'],2023-04-24 23:00:00,2023-04-24 23:00:00
MS,3,[27280.0],['Min'],2023-04-25 14:00:00,2023-04-25 14:00:00
MS,2,[],[],,
MS,2,[28282.2],['Min'],2023-04-26 22:00:00,2023-04-26 22:00:00
MS,1,[],[],,
MS,3,[],[],,
MS,4,[],[],,
MS,1,[],[],,
MS,7,[29700.1],['Max'],2023-04-30 16:00:00,2023-04-30 16:00:00
MS,4,[28158.3],['Min'],2023-05-01 15:00:00,2023-05-01 15:00:00
MS,3,[],[],,
MS,1,[],[],,
MS,4,[],[],,
MS,1,[],[],,
MS,6,[29031.9],['Max'],2023-05-07 14:00:00,2023-05-07 14:00:00
MS,8,[27329.1],['Min'],2023-05-08 19:00:00,2023-05-08 19:00:00
MS,4,[],[],,
MS,11,"[27736.0, 27532.4]","['Max', 'Min']",2023-05-10 00:00:00,2023-05-10 07:00:00
MS,1,[],[],,
MS,8,[],[],,
MS,4,[27019.9],['Max'],2023-05-12 00:00:00,2023-05-12 00:00:00
MS,7,[26281.5],['Min'],2023-05-12 16:00:00,2023-05-12 16:00:00
MS,3,[26891.6],['Max'],2023-05-13 20:00:00,2023-05-13 20:00:00
MS,5,[26720.9],['Min'],2023-05-14 01:00:00,2023-05-14 01:00:00
MS,4,[],[],,
MS,8,[27323.2],['Min'],2023-05-15 11:00:00,2023-05-15 11:00:00
MS,4,[27240.6],['Max'],2023-05-16 07:00:00,2023-05-16 07:00:00
MS,8,[26917.9],['Min'],2023-05-16 19:00:00,2023-05-16 19:00:00
MS,2,[27395.8],['Max'],2023-05-17 23:00:00,2023-05-17 23:00:00
MS,2,[],[],,
MS,5,[],[],,
MS,3,[],[],,
MS,4,[],[],,
MS,2,[],[],,
MS,2,[],[],,
