Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
SB,1,[29148.0],['Min'],2023-04-19 08:00:00,2023-04-19 08:00:00
SB,9,[29376.5],['Max'],2023-04-19 14:00:00,2023-04-19 14:00:00
SB,10,"[27837.8, 27532.8]","['Max', 'Min']",2023-04-22 22:00:00,2023-04-23 00:00:00
SB,3,[],[],,
SB,2,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,3,"[29079.3, 28778.6]","['Max', 'Min']",2023-04-27 04:00:00,2023-04-27 06:00:00
SB,1,[],[],,
SB,11,[],[],,
SB,7,[],[],,
SB,10,"[28727.0, 28467.8]","['Max', 'Min']",2023-05-02 22:00:00,2023-05-03 05:00:00
SB,1,[],[],,
SB,6,[],[],,
SB,14,[],[],,
SB,8,"[27690.9, 27923.4]","['Min', 'Max']",2023-05-08 08:00:00,2023-05-08 10:00:00
SB,5,"[27744.9, 27385.8, 27691.2]","['Max', 'Min', 'Max']",2023-05-09 12:00:00,2023-05-09 16:00:00
SB,9,"[27848.3, 27497.5, 27655.5]","['Max', 'Min', 'Max']",2023-05-10 20:00:00,2023-05-10 22:00:00
SB,1,[],[],,
SB,5,[],[],,
SB,1,[],[],,
SB,5,[27392.6],['Max'],2023-05-18 09:00:00,2023-05-18 09:00:00
SB,4,[],[],,
SB,1,[27228.9],['Max'],2023-05-21 00:00:00,2023-05-21 00:00:00
SB,1,[],[],,
SB,8,[],[],,
SB,2,[26475.9],['Max'],2023-05-25 20:00:00,2023-05-25 20:00:00
SB,4,[],[],,
SB,2,[],[],,
SB,6,[],[],,
SB,6,[27609.5],['Min'],2023-05-30 14:00:00,2023-05-30 14:00:00
SB,5,[],[],,
SB,3,[],[],,
SB,2,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,1,[],[],,
SB,7,[25785.0],['Max'],2023-06-06 04:00:00,2023-06-06 04:00:00
SB,1,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,3,[],[],,
SB,4,[],[],,
SB,9,[26034.9],['Max'],2023-06-14 01:00:00,2023-06-14 01:00:00
SB,10,[25193.5],['Max'],2023-06-15 00:00:00,2023-06-15 00:00:00
SB,1,[],[],,
SB,4,[26641.6],['Max'],2023-06-18 19:00:00,2023-06-18 19:00:00
SB,2,[],[],,
SB,1,[],[],,
SB,4,"[30481.6, 30743.0]","['Min', 'Max']",2023-06-24 00:00:00,2023-06-24 02:00:00
SB,1,[],[],,
SB,6,[30068.5],['Min'],2023-06-26 17:00:00,2023-06-26 17:00:00
SB,3,[30473.3],['Max'],2023-06-27 02:00:00,2023-06-27 02:00:00
SB,2,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,1,[],[],,
SB,6,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,11,[29874.4],['Min'],2023-07-06 23:00:00,2023-07-06 23:00:00
SB,1,[],[],,
SB,5,[],[],,
SB,6,"[30631.0, 30461.6]","['Max', 'Min']",2023-07-11 16:00:00,2023-07-11 18:00:00
SB,6,[30268.1],['Min'],2023-07-12 19:00:00,2023-07-12 19:00:00
SB,12,[],[],,
SB,4,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,8,[],[],,
SB,1,[],[],,
SB,1,[],[],,
SB,6,[],[],,
SB,5,[],[],,
SB,1,[],[],,
SB,4,[],[],,
SB,6,[],[],,
SB,7,[28820.1],['Min'],2023-08-01 03:00:00,2023-08-01 03:00:00
SB,2,[],[],,
SB,3,[29240.9],['Max'],2023-08-03 01:00:00,2023-08-03 01:00:00
SB,6,[28952.1],['Min'],2023-08-04 20:00:00,2023-08-04 20:00:00
SB,5,[],[],,
SB,1,[],[],,
SB,2,[29967.0],['Max'],2023-08-08 20:00:00,2023-08-08 20:00:00
SB,1,[],[],,
SB,1,[],[],,
SB,3,[],[],,
SB,3,[],[],,
SB,8,[],[],,
SB,4,"[26249.9, 26790.1]","['Min', 'Max']",2023-08-17 21:00:00,2023-08-17 22:00:00
SB,2,[26256.6],['Min'],2023-08-18 04:00:00,2023-08-18 04:00:00
SB,7,[26174.0],['Max'],2023-08-20 12:00:00,2023-08-20 12:00:00
SB,3,[],[],,
SB,3,[],[],,
SB,2,[26486.1],['Max'],2023-08-24 08:00:00,2023-08-24 08:00:00
SB,1,[],[],,
SB,3,[],[],,
SB,10,[],[],,
SB,4,[27988.4],['Max'],2023-08-29 16:00:00,2023-08-29 16:00:00
SB,2,[],[],,
SB,9,"[25928.0, 26071.5]","['Min', 'Max']",2023-08-31 23:00:00,2023-09-01 03:00:00
SB,7,[],[],,
SB,12,[25661.2],['Min'],2023-09-05 02:00:00,2023-09-05 02:00:00
