Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
MB,4,[],[],,
MB,3,[],[],,
MB,5,[],[],,
MB,4,[],[],,
MB,3,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,2,[27252.3],['Min'],2023-04-25 07:00:00,2023-04-25 07:00:00
MB,1,[],[],,
MB,1,[29955.0],['Max'],2023-04-26 12:00:00,2023-04-26 12:00:00
MB,1,[],[],,
MB,8,[29018.8],['Min'],2023-04-28 13:00:00,2023-04-28 13:00:00
MB,1,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,5,[],[],,
MB,2,[],[],,
MB,2,[],[],,
MB,3,[29314.9],['Max'],2023-05-05 01:00:00,2023-05-05 01:00:00
MB,6,[28939.1],['Min'],2023-05-05 12:00:00,2023-05-05 12:00:00
MB,9,[29657.3],['Max'],2023-05-06 00:00:00,2023-05-06 00:00:00
MB,2,[],[],,
MB,3,[],[],,
MB,1,[],[],,
MB,3,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,3,[],[],,
MB,4,[],[],,
MB,3,[27071.4],['Max'],2023-05-14 15:00:00,2023-05-14 15:00:00
MB,2,[27493.0],['Max'],2023-05-15 17:00:00,2023-05-15 17:00:00
MB,1,[],[],,
MB,6,[],[],,
MB,4,[27196.5],['Min'],2023-05-18 06:00:00,2023-05-18 06:00:00
MB,3,[],[],,
MB,3,[],[],,
MB,3,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,4,[],[],,
MB,5,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,2,[],[],,
MB,2,[],[],,
MB,2,[],[],,
MB,8,[27593.6],['Min'],2023-05-29 16:00:00,2023-05-29 16:00:00
MB,4,[27836.4],['Max'],2023-05-30 19:00:00,2023-05-30 19:00:00
MB,3,[26900.1],['Min'],2023-05-31 15:00:00,2023-05-31 15:00:00
MB,8,[26705.1],['Min'],2023-06-01 02:00:00,2023-06-01 02:00:00
MB,1,[],[],,
MB,3,[27292.7],['Max'],2023-06-03 15:00:00,2023-06-03 15:00:00
MB,2,[],[],,
MB,6,[26990.0],['Min'],2023-06-03 21:00:00,2023-06-03 21:00:00
MB,6,[],[],,
MB,6,[],[],,
MB,6,[25556.0],['Min'],2023-06-05 18:00:00,2023-06-05 18:00:00
MB,1,[],[],,
MB,2,[],[],,
MB,7,[],[],,
MB,7,[],[],,
MB,2,[],[],,
MB,2,[26662.3],['Max'],2023-06-09 12:00:00,2023-06-09 12:00:00
MB,4,[],[],,
MB,4,"[26010.0, 25529.2]","['Max', 'Min']",2023-06-10 17:00:00,2023-06-10 18:00:00
MB,1,[],[],,
MB,2,[25790.5],['Min'],2023-06-12 13:00:00,2023-06-12 13:00:00
MB,2,[],[],,
MB,6,[25833.2],['Min'],2023-06-14 05:00:00,2023-06-14 05:00:00
MB,1,[],[],,
MB,5,[],[],,
MB,4,[26399.9],['Min'],2023-06-17 15:00:00,2023-06-17 15:00:00
MB,7,[],[],,
MB,7,[],[],,
MB,1,[],[],,
MB,4,[26329.7],['Min'],2023-06-18 23:00:00,2023-06-18 23:00:00
MB,11,[],[],,
MB,4,[],[],,
MB,3,[],[],,
MB,5,[30163.1],['Max'],2023-06-21 16:00:00,2023-06-21 16:00:00
MB,15,"[29919.3, 30226.8, 29735.4, 30208.8, 29875.0]","['Min', 'Max', 'Min', 'Max', 'Min']",2023-06-22 11:00:00,2023-06-22 23:00:00
MB,4,[],[],,
MB,4,[],[],,
MB,1,[30166.0],['Min'],2023-06-26 01:00:00,2023-06-26 01:00:00
MB,4,[30474.8],['Max'],2023-06-26 06:00:00,2023-06-26 06:00:00
MB,4,[30631.2],['Max'],2023-06-26 13:00:00,2023-06-26 13:00:00
MB,2,[],[],,
MB,5,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,6,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,6,[],[],,
MB,5,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,2,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,12,[30395.6],['Max'],2023-07-07 14:00:00,2023-07-07 14:00:00
MB,3,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,6,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,6,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,4,[],[],,
MB,4,[],[],,
MB,1,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,7,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,5,[],[],,
MB,2,[29145.8],['Min'],2023-07-30 22:00:00,2023-07-30 22:00:00
MB,1,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,5,[29034.0],['Min'],2023-08-03 07:00:00,2023-08-03 07:00:00
MB,7,[],[],,
MB,6,[],[],,
MB,3,[],[],,
MB,2,[],[],,
MB,1,[28853.2],['Min'],2023-08-07 15:00:00,2023-08-07 15:00:00
MB,11,"[29561.1, 29347.1]","['Max', 'Min']",2023-08-08 12:00:00,2023-08-08 13:00:00
MB,3,[],[],,
MB,2,[],[],,
MB,8,[29404.2],['Min'],2023-08-09 19:00:00,2023-08-09 19:00:00
MB,4,[],[],,
MB,7,[],[],,
MB,13,[],[],,
MB,2,[],[],,
MB,5,[],[],,
MB,5,[],[],,
MB,9,[],[],,
MB,1,[],[],,
MB,5,[],[],,
MB,3,[],[],,
MB,2,[],[],,
MB,5,[],[],,
MB,3,[],[],,
MB,3,[],[],,
MB,1,[],[],,
MB,5,[26035.8],['Min'],2023-08-20 16:00:00,2023-08-20 16:00:00
MB,1,[],[],,
MB,1,[],[],,
MB,3,[26049.6],['Max'],2023-08-23 06:00:00,2023-08-23 06:00:00
MB,1,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,3,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,5,[],[],,
MB,4,[26134.4],['Max'],2023-08-28 18:00:00,2023-08-28 18:00:00
MB,1,[],[],,
MB,3,[],[],,
MB,3,[],[],,
MB,3,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,4,[],[],,
MB,2,[25845.6],['Max'],2023-09-06 17:00:00,2023-09-06 17:00:00
MB,4,[25633.2],['Min'],2023-09-07 13:00:00,2023-09-07 13:00:00
MB,2,[],[],,
MB,2,[],[],,
MB,3,[],[],,
MB,1,[],[],,
MB,5,"[25675.9, 25884.8]","['Min', 'Max']",2023-09-11 01:00:00,2023-09-11 05:00:00
MB,2,[],[],,
MB,3,[],[],,
MB,3,[],[],,
MB,1,[],[],,
MB,4,[],[],,
MB,10,"[26514.0, 26162.3]","['Max', 'Min']",2023-09-14 00:00:00,2023-09-14 01:00:00
MB,2,[],[],,
MB,8,[],[],,
MB,5,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,10,[26666.7],['Min'],2023-09-19 00:00:00,2023-09-19 00:00:00
MB,2,[27329.9],['Max'],2023-09-20 01:00:00,2023-09-20 01:00:00
MB,5,[],[],,
MB,3,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,4,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,4,[],[],,
MB,1,[],[],,
MB,9,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,3,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,2,[27976.6],['Max'],2023-10-05 13:00:00,2023-10-05 13:00:00
MB,5,[27398.4],['Min'],2023-10-05 23:00:00,2023-10-05 23:00:00
MB,1,[],[],,
MB,12,[28049.9],['Max'],2023-10-08 03:00:00,2023-10-08 03:00:00
MB,2,[],[],,
MB,1,[],[],,
MB,4,[27391.1],['Min'],2023-10-09 16:00:00,2023-10-09 16:00:00
MB,1,[],[],,
MB,4,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,8,[],[],,
MB,2,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,3,[26806.5],['Min'],2023-10-14 21:00:00,2023-10-14 21:00:00
MB,7,[],[],,
MB,1,[],[],,
MB,2,[],[],,
MB,1,[],[],,
MB,8,[28175.0],['Min'],2023-10-17 04:00:00,2023-10-17 04:00:00
MB,4,[28203.5],['Min'],2023-10-17 12:00:00,2023-10-17 12:00:00
MB,10,[28334.0],['Min'],2023-10-17 18:00:00,2023-10-17 18:00:00
MB,4,[],[],,
MB,2,[],[],,
MB,4,[],[],,
MB,4,[],[],,
MB,2,[30195.0],['Max'],2023-10-21 18:00:00,2023-10-21 18:00:00
MB,2,[],[],,
MB,2,[33358.8],['Max'],2023-10-23 22:00:00,2023-10-23 22:00:00
MB,5,[34195.4],['Max'],2023-10-25 01:00:00,2023-10-25 01:00:00
MB,1,[34487.7],['Min'],2023-10-25 23:00:00,2023-10-25 23:00:00
MB,2,[],[],,
MB,7,"[34236.7, 33849.0]","['Max', 'Min']",2023-10-26 22:00:00,2023-10-27 01:00:00
MB,1,[],[],,
MB,4,[],[],,
MB,1,[],[],,
MB,1,[],[],,
MB,8,[34670.8],['Max'],2023-10-30 13:00:00,2023-10-30 13:00:00
MB,4,[],[],,
MB,4,"[34504.0, 34227.0]","['Max', 'Min']",2023-10-31 11:00:00,2023-10-31 13:00:00
MB,2,[34645.2],['Min'],2023-11-02 15:00:00,2023-11-02 15:00:00
MB,17,[34260.5],['Min'],2023-11-03 09:00:00,2023-11-03 09:00:00
MB,4,[],[],,
MB,6,[35253.1],['Max'],2023-11-06 11:00:00,2023-11-06 11:00:00
MB,7,[],[],,
MB,4,[],[],,
MB,8,[35231.3],['Min'],2023-11-08 15:00:00,2023-11-08 15:00:00
MB,15,[37395.7],['Max'],2023-11-10 16:00:00,2023-11-10 16:00:00
MB,5,[],[],,
MB,1,[],[],,
MB,7,[],[],,
MB,7,[],[],,
MB,8,[],[],,
MB,7,[],[],,
MB,6,[35936.5],['Min'],2023-11-16 19:00:00,2023-11-16 19:00:00
MB,5,[36252.0],['Min'],2023-11-17 07:00:00,2023-11-17 07:00:00
