datetime,sigai_output,signal
2023-04-18 12:00:00,0.00538623,MSS
2023-04-18 13:00:00,0.0056004,MSS
2023-04-18 14:00:00,0.00581907,MSS
2023-04-18 16:00:00,0.00680801,MSS
2023-04-18 20:00:00,0.0087089,WSS
2023-04-18 21:00:00,0.00885133,WSS
2023-04-20 14:00:00,0.00153501,MSS
2023-04-20 15:00:00,0.00148044,MSS
2023-04-20 16:00:00,0.00532389,MSS
2023-04-20 17:00:00,0.00553591,MSS
2023-04-20 18:00:00,0.00581346,MSS
2023-04-20 19:00:00,0.00613143,MSS
2023-04-20 20:00:00,0.00919843,WSS
2023-04-20 21:00:00,0.00919257,WSS
2023-04-20 22:00:00,0.00902368,WSS
2023-04-20 23:00:00,0.0087548,WSS
2023-04-21 16:00:00,0.01139145,WSS
2023-04-21 17:00:00,0.01139505,WSS
2023-04-21 18:00:00,0.01139621,WSS
2023-04-21 19:00:00,0.01139073,WSS
2023-04-21 20:00:00,0.01139012,WSS
2023-04-21 21:00:00,0.01139014,WSS
2023-04-24 13:00:00,0.00319419,MSS
2023-04-24 16:00:00,0.00762498,WSS
2023-04-24 17:00:00,0.0077652,WSS
2023-04-24 18:00:00,0.00782604,WSS
2023-04-24 19:00:00,0.00784463,WSS
2023-04-26 16:00:00,0.01060533,WSS
2023-04-26 17:00:00,0.01060478,WSS
2023-04-26 18:00:00,0.01060416,WSS
2023-04-26 19:00:00,0.01059804,WSS
2023-04-26 20:00:00,0.01054656,WSS
2023-04-26 21:00:00,0.01052685,WSS
2023-04-28 00:00:00,0.00667683,MSS
2023-04-30 00:00:00,0.00122991,MSS
2023-04-30 01:00:00,0.00118404,MSS
2023-04-30 02:00:00,0.0010009,MSS
2023-04-30 03:00:00,0.00135637,MSS
2023-04-30 04:00:00,0.00443465,MSS
2023-04-30 05:00:00,0.0045118,MSS
2023-04-30 06:00:00,0.00447648,MSS
2023-04-30 07:00:00,0.00493547,MSS
2023-04-30 08:00:00,0.00628161,MSS
2023-04-30 09:00:00,0.00632146,MSS
2023-04-30 10:00:00,0.00639415,MSS
2023-04-30 12:00:00,0.00809116,WSS
2023-05-02 15:00:00,0.00628824,MSS
2023-05-03 12:00:00,0.00773612,WSS
2023-05-03 13:00:00,0.00818709,WSS
2023-05-03 14:00:00,0.0080465,WSS
2023-05-03 15:00:00,0.0080118,WSS
2023-05-04 00:00:00,0.01208545,WSS
2023-05-04 01:00:00,0.01208547,WSS
2023-05-04 02:00:00,0.01207854,WSS
2023-05-04 03:00:00,0.01207843,WSS
2023-05-09 20:00:00,0.00490366,MSS
2023-05-09 21:00:00,0.0046328,MSS
2023-05-09 22:00:00,0.00458415,MSS
2023-05-09 23:00:00,0.0043838,MSS
2023-05-13 21:00:00,0.00538911,MSS
2023-05-13 22:00:00,0.00502587,MSS
2023-05-16 00:00:00,0.01182278,WSS
2023-05-16 01:00:00,0.01159126,WSS
2023-05-16 02:00:00,0.01141462,WSS
2023-05-16 03:00:00,0.01111072,WSS
2023-05-18 00:00:00,0.00914267,WSS
2023-05-18 01:00:00,0.00938807,WSS
2023-05-19 08:00:00,0.00844098,WSS
2023-05-19 09:00:00,0.00813664,WSS
2023-05-19 10:00:00,0.00792838,WSS
2023-05-21 20:00:00,0.00411535,MSS
2023-05-21 21:00:00,0.00402922,MSS
2023-05-22 00:00:00,0.00914684,WSS
2023-05-22 01:00:00,0.00913289,WSS
2023-05-22 02:00:00,0.0091696,WSS
2023-05-22 03:00:00,0.00932201,WSS
2023-05-22 04:00:00,0.00948492,WSS
2023-05-22 05:00:00,0.0092873,WSS
2023-05-23 04:00:00,0.00975577,WSS
2023-05-23 05:00:00,0.01034891,WSS
2023-05-23 06:00:00,0.01091485,WSS
2023-05-23 07:00:00,0.01148708,WSS
2023-05-23 08:00:00,0.01541149,WSS
2023-05-23 09:00:00,0.01547317,WSS
2023-05-23 10:00:00,0.01580135,WSS
2023-05-23 11:00:00,0.01665537,WSS
2023-05-23 12:00:00,0.01647397,WSS
2023-05-23 13:00:00,0.01593212,WSS
2023-05-26 12:00:00,0.00608833,MSS
2023-05-26 13:00:00,0.00610327,MSS
2023-05-26 14:00:00,0.00611061,MSS
2023-05-26 16:00:00,0.00748067,WSS
2023-05-26 17:00:00,0.00656722,MSS
2023-05-26 18:00:00,0.00701241,WSS
2023-05-26 19:00:00,0.00700866,WSS
2023-05-27 16:00:00,0.00669181,MSS
2023-05-27 17:00:00,0.00738568,WSS
2023-05-27 18:00:00,0.00761714,WSS
2023-05-27 19:00:00,0.00780976,WSS
2023-05-27 20:00:00,0.009368,WSS
2023-05-27 21:00:00,0.00914825,WSS
2023-05-27 22:00:00,0.00884492,WSS
2023-05-28 23:00:00,0.01048274,WSS
2023-05-29 00:00:00,0.01596643,WSS
2023-05-29 01:00:00,0.01609288,WSS
2023-05-29 02:00:00,0.01612001,WSS
2023-05-29 03:00:00,0.01603386,WSS
2023-05-29 04:00:00,0.01604437,WSS
2023-05-30 07:00:00,0.01075658,WSS
2023-05-31 04:00:00,0.01116544,WSS
2023-05-31 05:00:00,0.01079836,WSS
2023-06-01 20:00:00,0.00841237,WSS
2023-06-02 08:00:00,0.00958973,WSS
2023-06-02 09:00:00,0.00940512,WSS
2023-06-03 00:00:00,0.01143088,WSS
2023-06-03 01:00:00,0.01130382,WSS
2023-06-03 02:00:00,0.01175875,WSS
2023-06-03 03:00:00,0.01155262,WSS
2023-06-04 08:00:00,0.00854185,WSS
2023-06-04 09:00:00,0.00844736,WSS
2023-06-04 10:00:00,0.00856788,WSS
2023-06-04 11:00:00,0.00888099,WSS
2023-06-04 12:00:00,0.01135892,WSS
2023-06-04 13:00:00,0.0115792,WSS
2023-06-04 14:00:00,0.01186465,WSS
2023-06-04 15:00:00,0.01213396,WSS
2023-06-04 16:00:00,0.01174058,WSS
2023-06-06 18:00:00,0.00409583,MSS
2023-06-06 19:00:00,0.00427637,MSS
2023-06-06 20:00:00,0.00745068,WSS
2023-06-06 21:00:00,0.00819763,WSS
2023-06-06 22:00:00,0.00879776,WSS
2023-06-06 23:00:00,0.0093342,WSS
2023-06-07 00:00:00,0.01527704,WSS
2023-06-07 01:00:00,0.01564243,WSS
2023-06-07 02:00:00,0.01612828,WSS
2023-06-07 03:00:00,0.01643531,WSS
2023-06-07 04:00:00,0.01609302,WSS
2023-06-08 22:00:00,0.00862121,WSS
2023-06-08 23:00:00,0.00828776,WSS
2023-06-09 16:00:00,0.01105329,WSS
2023-06-09 17:00:00,0.01155106,WSS
2023-06-09 18:00:00,0.01221728,WSS
2023-06-09 19:00:00,0.01293377,WSS
2023-06-09 20:00:00,0.01400799,WSS
2023-06-09 21:00:00,0.01395956,WSS
2023-06-09 22:00:00,0.01378004,WSS
2023-06-11 13:00:00,0.00456978,MSS
2023-06-11 14:00:00,0.00475078,MSS
2023-06-11 15:00:00,0.00470655,MSS
2023-06-11 20:00:00,0.00530196,MSS
2023-06-11 21:00:00,0.00533161,MSS
2023-06-12 00:00:00,0.00763368,WSS
2023-06-12 01:00:00,0.0075928,WSS
2023-06-12 02:00:00,0.00772234,WSS
2023-06-12 03:00:00,0.00780727,WSS
2023-06-12 04:00:00,0.00763126,WSS
2023-06-12 20:00:00,0.00896217,WSS
2023-06-12 21:00:00,0.00953179,WSS
2023-06-12 22:00:00,0.01006489,WSS
2023-06-12 23:00:00,0.01042686,WSS
2023-06-13 00:00:00,0.01078725,WSS
2023-06-13 01:00:00,0.01095976,WSS
2023-06-13 02:00:00,0.01140418,WSS
2023-06-13 03:00:00,0.01209756,WSS
2023-06-13 04:00:00,0.01235525,WSS
2023-06-15 09:00:00,0.01143298,WSS
2023-06-15 10:00:00,0.01533748,WSS
2023-06-15 11:00:00,0.01508029,WSS
2023-06-15 12:00:00,0.01596304,WSS
2023-06-15 13:00:00,0.01493924,WSS
2023-06-16 16:00:00,0.01277388,WSS
2023-06-16 17:00:00,0.01280672,WSS
2023-06-16 18:00:00,0.01434798,WSS
2023-06-16 19:00:00,0.01539662,WSS
2023-06-16 20:00:00,0.01589537,WSS
2023-06-16 21:00:00,0.01628807,WSS
2023-06-16 22:00:00,0.01631552,WSS
2023-06-16 23:00:00,0.01645298,WSS
2023-06-17 00:00:00,0.01740268,WSS
2023-06-19 00:00:00,0.01205595,WSS
2023-06-19 01:00:00,0.01202079,WSS
2023-06-20 02:00:00,0.01130613,WSS
2023-06-20 03:00:00,0.0117888,WSS
2023-06-20 04:00:00,0.01195895,WSS
2023-06-20 05:00:00,0.01182541,WSS
2023-06-21 08:00:00,0.02096771,WSS
2023-06-21 09:00:00,0.02084751,WSS
2023-06-21 10:00:00,0.02025673,WSS
2023-06-21 11:00:00,0.0197335,WSS
2023-06-21 12:00:00,0.01947639,WSS
2023-06-22 00:00:00,0.02253097,WSS
2023-06-22 01:00:00,0.02222831,WSS
2023-06-23 08:00:00,0.01083757,WSS
2023-06-23 09:00:00,0.01153543,WSS
2023-06-23 10:00:00,0.01169035,WSS
2023-06-23 11:00:00,0.01162628,WSS
2023-06-23 12:00:00,0.01142501,WSS
2023-06-23 13:00:00,0.0112362,WSS
2023-06-25 00:00:00,0.01035199,WSS
2023-06-25 04:00:00,0.01143324,WSS
2023-06-25 05:00:00,0.01161219,WSS
2023-06-27 12:00:00,0.01157719,WSS
2023-06-27 13:00:00,0.01156453,WSS
2023-06-27 14:00:00,0.01163883,WSS
2023-06-27 15:00:00,0.01165788,WSS
2023-06-29 08:00:00,0.00832956,WSS
2023-06-29 09:00:00,0.00855823,WSS
2023-06-29 10:00:00,0.00907662,WSS
2023-06-29 11:00:00,0.00986946,WSS
2023-06-29 12:00:00,0.01212144,WSS
2023-06-29 13:00:00,0.01249858,WSS
2023-06-29 14:00:00,0.01266025,WSS
2023-06-29 15:00:00,0.01244748,WSS
2023-06-29 16:00:00,0.01270893,WSS
2023-06-29 17:00:00,0.01297536,WSS
2023-06-29 18:00:00,0.01298674,WSS
2023-07-02 06:00:00,0.01117876,WSS
2023-07-02 07:00:00,0.01124692,WSS
2023-07-02 16:00:00,0.01160561,WSS
2023-07-02 17:00:00,0.01147961,WSS
2023-07-03 08:00:00,0.01301781,WSS
2023-07-03 09:00:00,0.01287683,WSS
2023-07-03 10:00:00,0.01292802,WSS
