datetime,sigai_output
2023-05-02 15:00:00,0.006288
2023-05-03 15:00:00,0.008012
2023-05-26 19:00:00,0.007009
2023-05-30 07:00:00,0.010757
2023-06-11 15:00:00,0.004707
2023-08-14 07:00:00,0.012982
2023-09-15 19:00:00,0.006284
2023-09-18 12:00:00,0.003547
2023-09-20 23:00:00,0.003453
2023-10-25 15:00:00,0.015615
2023-10-26 11:00:00,0.019823
2023-11-22 03:00:00,0.010639
2023-12-25 15:00:00,0.038097
2024-02-08 07:00:00,0.014689
2024-03-08 15:00:00,0.045105
2024-03-12 19:00:00,0.085989
2024-04-07 10:00:00,0.014296
2023-05-02 16:00:00,0.005262
2023-05-03 16:00:00,0.002329
2023-05-26 20:00:00,0.004622
2023-05-30 08:00:00,0.009527
2023-06-11 16:00:00,0.003426
2023-08-14 08:00:00,0.011079
2023-09-15 20:00:00,0.003578
2023-09-18 13:00:00,0.002659
2023-09-21 00:00:00,-9e-06
2023-10-25 16:00:00,0.013255
2023-10-26 12:00:00,0.015653
2023-11-22 04:00:00,0.009258
2023-12-25 16:00:00,0.027895
2024-02-08 08:00:00,0.011192
2024-03-08 16:00:00,0.035748
2024-03-12 20:00:00,0.067826
2024-04-07 11:00:00,0.01085
