Statistics,lower_third_data.csv,middle_third_data.csv,upper_third_data.csv,Source
count,461,1288,52,aggregate_statistics_MB.csv
mean,-0.001409254,0.009466215,0.045322947,aggregate_statistics_MB.csv
std,0.003830377,0.005935814,0.009774842,aggregate_statistics_MB.csv
min,-0.0285343,0.00243679,0.03350679,aggregate_statistics_MB.csv
25%,-0.00245318,0.00572688,0.03621109,aggregate_statistics_MB.csv
50%,-0.00073746,0.00808123,0.042319175,aggregate_statistics_MB.csv
75%,0.00093853,0.010994555,0.0537366,aggregate_statistics_MB.csv
max,0.0023791,0.03318623,0.06437101,aggregate_statistics_MB.csv
count,1624,104,11,aggregate_statistics_MS.csv
mean,0.011000425,0.051662133,0.095597665,aggregate_statistics_MS.csv
std,0.007485345,0.01191708,0.013301804,aggregate_statistics_MS.csv
min,-0.00778364,0.03814508,0.08411441,aggregate_statistics_MS.csv
25%,0.006015028,0.042167033,0.086961195,aggregate_statistics_MS.csv
50%,0.00955886,0.0470707,0.09151431,aggregate_statistics_MS.csv
75%,0.014251455,0.060854933,0.09772562,aggregate_statistics_MS.csv
max,0.03793058,0.08185521,0.12978156,aggregate_statistics_MS.csv
count,58,829,55,aggregate_statistics_SB.csv
mean,-0.017509204,0.00338961,0.034477232,aggregate_statistics_SB.csv
std,0.00859862,0.005778622,0.008267946,aggregate_statistics_SB.csv
min,-0.03907559,-0.00793999,0.02281653,aggregate_statistics_SB.csv
25%,-0.02180748,-0.00059479,0.027773995,aggregate_statistics_SB.csv
50%,-0.01415962,0.00277264,0.03393984,aggregate_statistics_SB.csv
75%,-0.010779705,0.00697268,0.039096425,aggregate_statistics_SB.csv
max,-0.00834735,0.02258413,0.05353924,aggregate_statistics_SB.csv
count,1053,85,10,aggregate_statistics_SS.csv
mean,0.01550293,0.062646458,0.117911552,aggregate_statistics_SS.csv
std,0.009801058,0.012244336,0.01850576,aggregate_statistics_SS.csv
min,-0.00151705,0.04717682,0.09741112,aggregate_statistics_SS.csv
25%,0.0087089,0.05233687,0.103159343,aggregate_statistics_SS.csv
50%,0.01264894,0.06019561,0.1136021,aggregate_statistics_SS.csv
75%,0.01929267,0.06805428,0.135565078,aggregate_statistics_SS.csv
max,0.04698122,0.09484294,0.14430937,aggregate_statistics_SS.csv
count,1302,272,47,aggregate_statistics_WB.csv
mean,0.005757589,0.023951563,0.060015946,aggregate_statistics_WB.csv
std,0.004544374,0.008268697,0.009214582,aggregate_statistics_WB.csv
min,-0.01756085,0.01386623,0.04534337,aggregate_statistics_WB.csv
25%,0.002753468,0.016828295,0.05280331,aggregate_statistics_WB.csv
50%,0.006318935,0.021630345,0.06089419,aggregate_statistics_WB.csv
75%,0.009074245,0.029833823,0.065593875,aggregate_statistics_WB.csv
max,0.01384681,0.0451547,0.07668164,aggregate_statistics_WB.csv
count,1333,174,24,aggregate_statistics_WS.csv
mean,0.007441011,0.036068681,0.073655358,aggregate_statistics_WS.csv
std,0.005532902,0.009474981,0.008740676,aggregate_statistics_WS.csv
min,-0.01657168,0.02275362,0.06224518,aggregate_statistics_WS.csv
25%,0.0040311,0.028684045,0.068778788,aggregate_statistics_WS.csv
50%,0.00716813,0.03450003,0.072471625,aggregate_statistics_WS.csv
75%,0.01045221,0.042805363,0.07679873,aggregate_statistics_WS.csv
max,0.02256284,0.05889208,0.10130251,aggregate_statistics_WS.csv
